Game,Team 1,moneyline 1,Team 2,moneyline 2
Game 1,Boston Bruins,2.7199999999999998,New Jersey Devils,1.4761904761904763
Game 2,Winnipeg Jets,2.05,Colorado Avalanche,1.7936507936507935
Game 3,Columbus Blue Jackets,2.7199999999999998,Toronto Maple Leafs,1.4761904761904763
Game 4,Florida Panthers,2.0,Los Angeles Kings,1.8333333333333335
