Game,Team 1,moneyline 1,Team 2,moneyline 2
Game 1,Columbus Blue Jackets,2.70,Toronto Maple Leafs,1.48
Game 2,Boston Bruins,2.85,New Jersey Devils,1.44
Game 3,Winnipeg Jets,2.00,Colorado Avalanche,1.83
Game 4,Florida Panthers,2.00,Los Angeles Kings,1.83
